danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
162,0.508,0.934,0,-5.292,0,0.18,0.00737,0.0113,0.347,0.148,137.988,242678,4,0
163,0.448,0.974,3,-6.576,1,0.119,0.000675,0.0176,0.393,0.228,140.039,272913,4,0
164,0.535,0.968,7,-7.284,0,0.0594,0.0383,0.245,0.29,0.326,138.021,205653,4,0
165,0.461,0.977,1,-7.398,0,0.0644,0.00175,0.0352,0.5,0.159,132.848,278108,4,0
166,0.275,0.688,8,-6.505,1,0.0474,0.00284,0.0293,0.181,0.068,133.976,292630,4,0
167,0.523,0.826,0,-7.026,1,0.031,0.0134,0.023,0.086,0.244,134.066,148657,4,0
168,0.521,0.93,6,-8.112,1,0.0447,0.000813,0.105,0.216,0.369,138.039,210539,4,0
169,0.506,0.977,7,-5.49,0,0.0481,0.00168,0.295,0.16,0.0408,136.029,204769,4,0
170,0.699,0.803,2,-5.485,1,0.0674,0.00154,0.0255,0.912,0.496,131.971,426769,4,0
171,0.597,0.927,1,-4.713,0,0.0366,0.00395,0.00583,0.085,0.163,133.337,242987,4,0
172,0.472,0.817,8,-2.877,1,0.0547,0.0183,0.0,0.127,0.166,128.034,210200,4,0
173,0.63,0.256,2,-8.75,1,0.0338,0.847,0.00012,0.0897,0.71,122.349,163149,4,0
174,0.594,0.261,11,-8.342,1,0.0348,0.9,0.0,0.0798,0.509,159.903,257853,4,0
175,0.212,0.186,0,-16.813,1,0.05,0.92,0.00024,0.116,0.51,174.963,135453,3,0
176,0.681,0.128,6,-15.01,1,0.0532,0.906,2.26e-06,0.183,0.324,93.842,158298,4,0
177,0.564,0.592,0,-6.58,0,0.0473,0.313,0.000113,0.232,0.0724,117.748,257962,4,0
178,0.726,0.221,1,-11.66,0,0.032,0.798,0.28,0.164,0.603,95.95,253419,4,0
179,0.599,0.485,10,-7.795,0,0.027,0.586,2.61e-06,0.108,0.181,115.926,230000,4,0
180,0.641,0.101,0,-14.288,1,0.0396,0.941,2.21e-06,0.377,0.217,98.596,150187,4,0
181,0.59,0.329,4,-11.584,0,0.0712,0.706,0.691,0.113,0.355,108.959,199600,4,0
182,0.52,0.463,10,-10.429,1,0.0958,0.609,0.0014,0.426,0.469,159.931,257520,4,0
183,0.614,0.617,8,-4.23,1,0.0295,0.641,0.000178,0.0648,0.15,105.933,305000,4,0
184,0.476,0.458,1,-11.747,1,0.0821,0.538,0.0,0.163,0.556,111.535,426467,4,0
185,0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,241917,3,0
186,0.65,0.28,4,-7.442,1,0.0305,0.495,3.55e-06,0.106,0.103,119.939,382613,3,0
187,0.369,0.195,2,-13.836,1,0.0369,0.935,4.62e-05,0.347,0.143,92.085,166139,4,0
188,0.409,0.274,6,-11.185,1,0.0295,0.448,0.0451,0.119,0.701,185.358,191227,3,0
189,0.639,0.323,7,-7.009,1,0.0249,0.118,0.000386,0.0909,0.398,77.98,227318,4,0
190,0.443,0.488,9,-10.436,1,0.0382,0.4,7.43e-05,0.148,0.389,186.807,260533,4,0
191,0.512,0.501,5,-9.971,1,0.0325,0.609,6.25e-05,0.0973,0.726,79.989,231755,4,0
192,0.539,0.366,2,-9.647,1,0.0298,0.547,0.000206,0.135,0.392,90.153,226259,4,0
193,0.543,0.627,1,-4.221,1,0.037,0.0248,0.0,0.248,0.915,164.435,143348,4,0
194,0.825,0.198,2,-12.837,1,0.32,0.51,2.85e-05,0.111,0.226,119.813,192913,4,0
